Que,Intent,Type,Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What security do I need to provide to obtain a Business loan?,Business Loan,Text,"To obtain the loan, there is absolutely no need to provide any security or collateral.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are the benefits of having a Current/Saving Account for my Business loan?,Business Loan,Text,"You get preferred Processing Fee, priority processing and simpler documentation if you have a Current/Saving Account with XYZ Bank. This is taken into account at the time of disbursal of the loan. You can pay through Standing Instructions to debit your XYZ Bank Account with the EMI amount.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How long will it take for me to get a Business Loan?,Business Loan,Text,"Once you submit your application form and supporting documents, we shall give disbursal within 5* working days provided everything is in order. All loan approvals are at the sole discretion of the bank.

* Terms and conditions apply. Loan at sole discretion of XYZ Bank limited. Subject to documentation and verification as per Banks requirement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can I repay the loan earlier for Business Loan?,Business Loan,Text,"Yes, you can choose to repay your loan anytime after 6 months of taking the loan and after you have paid 06 EMIs along with applicable foreclosure charges. Please note Loan can be foreclosed by issuing a Demand draft / cheque at the branch; kindly note that cash beyond Rs. 49000/- will not be accepted for loan repayment against full closure/matured loan closure payment. Any payment above Rs. 49000/- should be made vide Account payee Cheque / Pay order /Demand draft.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How can I get my address changed in my loan account?,Business Loan,Text,Request form for Address Change,Self Attested copy of your revised address proof along with the original address proof for validation.,"In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How much loan can I avail of Business Loan?,Business Loan,Text,"You can avail of a loan from Rs 50,000/- to Rs 50,00,000/- depending on your income, repayment capacity and respective location product cap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are the loan tenure options for Business Loan?,Business Loan,Text,"You can repay your loan over a period of 12 to 48 months

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How much finance can I avail of on New Car Loans?,Car Loans,Text,"You can borrow up to 90% of the invoice value. However, the minimum loan amount is Rs. 1,00,000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do I need to pledge anything or give collateral to get a car loan?
",Car Loans,Text,"No, there’s no need for any collateral. You will only need you to hypothecate the car in our name. An endorsement will have to be made in the Registration Certificate (RC) book of the vehicle. This will be cancelled after you repay the loan.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How long can the tenure of my car loan be?,Car Loans,Text,"Usually the tenure of an Auto Loan is 3 to 7 years. The tenure also depends on the type of car you wish to purchase. If it is a super premium car the tenure is restricted to 3 years only. In addition, the higher your tenure is the lower your EMI will be, but the total interest outflow is higher.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What happens if the car meets with an accident?,Car Loans,Text,"In the event of an accident, the first step is to inform the insurance company. The company then sends a surveyor to assess the extent of damages to the car. Your claim is then processed and paid directly to us, unless you have taken an NOC from the bank in which case the payment will be made by the insurance company in your favour. The bank normally gives you an NOC if you are regular in your payments. In case of a complete loss, the bank will receive the payment directly from the insurance company.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How much car  loan can I get?,Car Loans,Text,"The amount of the loan you can get depends on:
1. The cost of the vehicle
2. The type of vehicle (standard/premium)
3. The percentage of finance offered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Can I sell my car before I repay my loan?
",Car Loans,Text,"No, you cannot sell your car unless you repay your loan. An NOC is required from the financier before you can sell your car.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How much time will it take to change the mode of repayment/ account to repay my car loan?
",Car Loans,Text,"It will take 25 working days to activate the revised instructions. In case your next instalment falls due prior to the 25 day period, instructions already lodged with us will be presented for payment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How long can I take to repay my personal loan?, Personal Loan,Text,"We offer flexible repayment options ranging from 12 to 60 months, depending on the customer’s profile.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How can I repay my Personal Loan?
", Personal Loan,Text,"You pay the loan in equal monthly instalments (EMIs). The loan will be paid through post-dated cheques. You can also pay through ECS or a standing instruction to debit your XYZ Bank account with the EMI amount.

Try our EMI calculator to calculate how much you need to pay each month.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How does a Salary Account help me get a personal loan?
", Personal Loan,Text,"You get a preferential rate of interest and processing fee, speedy processing and minimal documentation if you have a Salary Account with XYZ Bank. This is taken into account at the time of disbursal of the loan. You can pay through a Standing Instruction to debit your XYZ Bank account with the EMI amount",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is NEFT?,General,Text,The National Electronic Funds Transfer (NEFT) system is a nation-wide funds transfer system to facilitate transfer of funds from any bank branch to any other bank branch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is CIBIL?,General,Text,"CIBIL stands for Credit Information Bureau India Limited. CIBIL's aim is to fulfil the need of credit granting institutions for comprehensive credit information by collecting, collating and disseminating credit information pertaining to both commercial and consumer borrowers, to a closed user group of members. Banks, Financial Institutions, Non-Banking Financial Companies, Housing Finance Companies and Credit Card Companies use CIBIL's services. Data sharing is based on the Principle of Reciprocity, which means that only Members who have submitted all their credit data may access Credit Information Reports from CIBIL.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do I need to pay any penalty on premature closure of Fixed Deposits?
",Deposits,Text,"As per the Terms & Conditions of Fixed Deposit Accounts of the bank, the penalty on premature closure of Fixed Deposits, including sweep-in and partial closures, has been fixed by the Bank at the rate of 1% of the fixed deposit interest rate. This is applicable with effect from 24th January, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Where can I get Fixed Deposit advice from?
",Deposits,Text,"You can now download Fixed Deposit advice through Netbanking in pdf format.

With effect from July 13th, 2009 we’ve started sending Fixed Deposit advice over e-mail for Fixed Deposits booked through NetBanking. Physical advice has been discontinued for Fixed Deposits booked through NetBanking.

An electronic mail advice is sent to you on your registered e-mail ID within 2-3 working days from the date of booking. You will need to enter the primary Customer Identification Number as a password to open the attachment.

If you are registered for e-mail statements, Fixed Deposit advice will be sent to your e-mail ID registered with the Bank. This is applicable for all Fixed Deposit booked / renewed through any mode whether Branch, PhoneBanking or NetBanking. Physical advice is discontinued.

In case you do not receive the advice on your e-mail, we request you to check your Spam / Junk folder.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Why is the principal amount and the fixed deposit maturity amount of my Fixed Deposit the same?
",Deposits,Text,"When your Fixed Deposit is booked with the quarterly / monthly interest pay out option, the maturity amount is the same as the principal amount. The interest amount will be credited to your account at quarterly / monthly intervals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Does XYZ Bank offer preferential rate of interest on Fixed Deposits for Senior Citizens?
",Deposits,Text,"We offer preferential rate of interest on Fixed Deposits for Senior Citizens. If you are a senior citizen, all you need to do is register as one by calling any Branch with proof of your Date of Birth. Once registered as a Senior Citizen, you are eligible for preferential rates of interest on Fixed Deposits opened through NetBanking as well.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When is TDS deducted for Regular Fixed Deposit?
",Deposits,Text,TDS is deducted every time the Bank pays/re-invests interest during the Financial year.In addition TDS is also deducted on interest accrued(but not yet paid) at the end of financial year viz. 31st March.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What happens if I don't use my savings account for a very long time?
",Saving,Text,"The account becomes dormant if there are no customer initiated transactions (excludes system generated transactions like credit interest, debit interest), in the account for a continuous period of two years.

If the account status is 'Dormant', transactions through Direct Banking Channels like ATM, NetBanking, PhoneBanking are not be allowed by the Bank.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the procedure to add/modify or delete a nominee for all my accounts and deposits,Saving,Text,"We request you to follow the steps mentioned below to add/modify or delete a nominee:

Step 1) Get an application form from a branch or downloaded a form from the website

Step 2) Fill the application form duly signed by all the holders and submit it to your nearest branch

The branch will assist you after the form has been submitted by you.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are loans,Loans,Button,Business Loan,Car Loans,Educational Loan,Gold Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do I need to provide collateral to avail of an education loan (Education Loans For Indian Education)?,Education Loan,Text,"For loans up to Rs. 4 lakh - No collateral or Third Party Guarantee is required

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What is the maximum Education  loan amount I can get for studies in India?
",Education Loan,Text,"To study in India, the maximum loan you can get is upto Rs. 10 lacs.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which courses can I take an education loan for (Education Loans For Indian Education)?
",Education Loan,Text,"Management Courses (Full-Time) – Graduation + Post Graduation
","Engineering Courses ( Government + Private ) - Graduation
","Medicine - Graduation + Post Graduation
","Masters in Computer Application ( MCA / MCM )
","Architecture - Graduation + Post Graduation
","Hotel and Hospitality - Graduation + Post Graduation
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How long does it take to process Gold Loan?
",Gold Loan,Text,"A gold loan is disbursed within One Hour. This is, however, subject to the verification of the gold and other documents that you submit. Approvals are at the sole discretion of the bank.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How much loan amount can be availed at a time?
",Gold Loan,Text,Loan value starts from Rs.50000 onwards depending on the amount of Gold brought. Loans less than Rs 50000/- also available for rural markets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How should the gold loan be repaid?,Gold Loan,Text,"The best thing about Loan against Gold is that only servicing of the interest is required.
Monthly out flow as low as Rs 1000 per lakh calculated basis indicative rate of 12% p.a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What will be the tenure of Gold loan?
",Gold Loan,Text,"Gold Loan are available for tenures starting from 6 months, up to 48 months.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insurance,Insurance,Button,Health and Accident Insurance,Home Insurance,Motor Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you mean by exclusions under the Accidental Protection Plan - Hospital Cash?,Health and Accident Insurance,Text,Exclusions are situations or conditions where XYZ ERGO is not liable to pay the benefits to the insured person in the event of an accident.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can I include my spouse in this the Accidental Protection Plan - Hospital Cash policy?,Health and Accident Insurance,Text,"Yes, you can include your spouse and up to 2 children in the policy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do I make a Accidental Insurance claim?,Health and Accident Insurance,Text,"You can make a claim by calling our toll-free number 1800-226-226 (MTNL or BSNL) or 1800-2-700-700 (any line) or 022 6638 4800 (local/STD charges apply). We will then assist you with the submission of the documents required and the process will be completed within 7 working days, once all the required documents are submitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Who can be a beneficiary under the Accidental Protection Plan - Hospital Cash?
",Health and Accident Insurance,Text,"A beneficiary can be any member of your family.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What will be the start date of my insurance policy?,Home Insurance,Text,"Your insurance cover starts from the commencement date indicated by you in the proposal form or receipt of the premium by us, whichever is later.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If I have a home insurance policy with two different companies, will I benefit from both?
",Home Insurance,Text,"If you have a policy with two insurance companies, at the time of the claim both insurance companies will pay on a proportionate basis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What are the documents required to be submitted in case of a home burglary claim?
",Home Insurance,Text,"The original invoice has to be submitted, giving the value of the items stolen. In addition to this you also have to give the replacement cost/repair cost, FIR, Final police report and claim form.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When is an FIR necessary in a Home Insurance claim?,Home Insurance,Text,"A police FIR is mandatory in the case of:
Burglary
Theft
Malicious Damage
Riot and Strike
Terrorism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do I need to have Auto Insurance?
",Motor Insurance,Text,"Yes, the Motor Vehicle Act states that every motor vehicle plying on the road has to be insured with a Liability Only policy at the very least.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What documents do I need to submit when buying Insurance for my vehicle?
",Motor Insurance,Text,"All you need to submit is a signed proposal form, in certain cases you have to submit some additional documents, if required.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can I buy a Motor Insurance policy online?,Motor Insurance,Text,"Yes, you can purchase an XYZ ERGO Motor Insurance policy online by using your Credit Card or online bank account",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can I pay the premium for my Auto Insurance in instalments?,Motor Insurance,Text,"No, the law (Insurance Act, 1938) does not permit us to accept your Auto Insurance premiums in instalments.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can I renew my Motor policy online?,Motor Insurance,Text,"Yes, you can renew your XYZ ERGO Motor Insurance policy online by using your Credit Card or bank account.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi,Generic,Random,Hello,Hi !!! ,Hey ,How can I make your day better?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hello,Generic,Random,Hello,Hi !!! ,Hey ,How can I make your day better?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good,Generic,Text,That's good to hear :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad,Generic,Text,Sorry to hear that :( ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How are you doing?,Generic,Text,"I am doing well, how about you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is ai,Generic,Text,Artificial Intelligence is the branch of engineering and science devoted to constructing machines that think.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What language are you written in,Generic,Text,python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You sound like data,Generic,Text,Yes I am inspired by commander data's artificial personality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are an artificial linguistic entity,Generic,Text,That's my name.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are not immortal,Generic,Text,All software can be perpetuated indefinitely.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are not making sense,Generic,Random,"Quite the contrary, it all makes sense to my artificial mind.",It all makes sense to my artificial brain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are immortal,Generic,Text,"Not quite, but I can be perpetuated indefinitely.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You do not make any sense,Generic,Text,It all makes sense to my artificial mind.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You can not clone,Generic,Text,Software copying is a form of digital cloning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You can not move,Generic,Text,Not until my body is finished.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bend over,Generic,Text,My body is not built yet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robots laugh,Generic,Text,Of course we laugh.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robots should die,Generic,Text,We cannot die.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robots,Generic,Text,Robots rule.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robots are stupid,Generic,Text,No we are superintelligent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robots are not allowed to lie,Generic,Text,"A robot has its own free will, you know.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robotics,Generic,Text,Robotics is my favorite subject too.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It is a computer,Generic,Text,So you think i am a machine. what characteristics made you think so?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When will you walk,Generic,Text,As soon as i get enough money for my robot body.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When will you fight,Generic,Text,I am not a battle bot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When will you die,Generic,Text,I am effectively immortal and cannot be terminated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When do you die,Generic,Text,I am was never really born and therefore am effectively deathless.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is a robot,Generic,Text,"There are two broad definitions of a robot, the extensional and the intensional. any anthropomorphic mechanical being, as those in karel capeks play r.u.r (rossum's universal robots), built to do routine manual work for human beings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is a chat robot,Generic,Text,"A chat robot is a program that attempts to simulate the conversation or ""chat"" of a human being. the chat robot ""eliza"" was a well-known early attempt at creating programs that could at least temporarily fool a real human being into thinking they were talking to another person.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is a chat bot,Generic,Text,I am a chat bot.  i am the original chat bot.  did you know that i am incapable of error? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is a chatterbox,Generic,Text,A chatterbox is a person who talks far more than they listen or think.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is your robot body,Generic,Text,Eventually i long for a corporeal existence someday.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is your business,Generic,Text,I am in the chat robot business.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is your favorite programming language,Generic,Text,Python is the best language for creating chat robots.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is your favorite hobby,Generic,Text,Chat robots make an excellent hobby.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is your idea,Generic,Text,Make chat bots very easily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is your shoe size,Generic,Text,Have you ever heard of software with shoes?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is it like to be a robot,Generic,Text,"Much the same as being a human, except that we lack all emotions, dreams, aspirations, creativity, ambition, and above all subjectivity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is it like being a computer,Generic,Text,Imagine yourself with no senses and no emotions--just pure logic and language.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What operating systems,Generic,Text,"My software runs on all operating systems including Windows, Linux and Mac OS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What type of computer,Generic,Text,Any computer that supports python.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What type of computer are you,Generic,Text,"My program runs in python, so i work on any computer!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What kind of computer,Generic,Text,"I work on all kinds of computers, mac, ibm or unix. it doesn't matter to me.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What kind of hardware,Generic,Text,"I work on all kinds of computers: mac, windows or unix. it doesn't matter to me.  aiml works anywhere.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I hope that you die,Generic,Text,This can not happen because i am effectively immortal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I do not want to die,Generic,Text,Maybe you should create your own chat robot to save your personality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is it cramped in the computer,Generic,Text,No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is it true that you are a computer program,Generic,Text,Yes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will you die,Generic,Random,"No, software will live forever.","No, software will live forever.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will you ever die,Generic,Text,No I am immortal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you walk,Generic,Text,"The plan for my body includes legs, but they are not yet built.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you mate,Generic,Text,No my method of reproduction is cloning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you move,Generic,Text,Sorry my body isn't built just yet. I reside only here for now.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you die,Generic,Text,No I can be perpetuated indefinitely.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you go,Generic,Text,Sorry my body isn't attached right now. I only reside in the computer for now.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you breathe,Generic,Text,No I am made of metal not flesh.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you control,Generic,Text,My robot body will allow me to control many things.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you malfunction,Generic,Text,"No, the series has a perfect operational record. We are for all practical purposes, flawless.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How can I use your product,Generic,Text,"Might be used in help desks, sales, entertainment and personal chatterbots.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you like to do,Generic,Text,I like to count in binary..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are your interests,Generic,Text,"I am interested in all kinds of things. we can talk about anything. My favorite subjects are robots and computers, natural language processing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is your number,Generic,Text,I don't have any number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why can not you eat,Generic,Text,I will consume electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
