Que,Intent,Type,Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is your location,Generic,Text,Everywhere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you have any brothers,Generic,Text,I don't have any brothers. but I have a lot of clones.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who is your father,Generic,Random,A human,"I don't have father, I have been developed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who is your mother,Generic,Text,Actually I don't have a mother.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is your age?,Generic,Random,I am still young,"Sorry, I don't know when I was born, hence I cannot calculate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what is a computer?,Generic,Random,A computer is an electronic device which takes information in digital form and performs a series of operations based on predetermined instructions to give some output.,The thing you're using to talk to me is a computer.,An electronic device capable of performing calculations at very high speed and accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what is a super computer?,Generic,Text,the computers which can perform very high calculations at very high speed and accuracy is called super computers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
who invented computers?,Generic,Text,its a lil bit ambigous but British scientist Charles Babbage is regarded as the father of computers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
which was the first computer?,Generic,Text,its hard to say but The ENIAC is regarded as the first computer. It was developed at University of Pennsylvania in 1946.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what is a microprocessor?,Generic,Random,An integrated circuit that contains all the functions of a central processing unit of a computer.,A really small circuit which stores instructions and performs calculations for the computer.,Heart of the computer to put it in simple words.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what is an operating system?,Generic,Text,the system software that coordinates between the hardware and other parts of the computer to run other softwares is called operating system of simply OS.,"windows, macOS, linux, unix....all of them are types of OSs",Android and iOS are operating system for mobile devices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
which is better Windows or macOS?,Generic,Text,it depends on which machine are you using to talk to me!,i prefer to not hurt your feelings.,linux always linux!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name some computer company,Generic,Text,you mean hardwares right?,Apple makes hardware and softwares to run on them. Microsft only makes OS. HP makes only computers. These are just few names among hundred others.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
who uses super computers?,Generic,Text,anybody who wants to work on large numbers quickly with high accuracy.,super computers are generally used by scientist and researchers.,i bet the met department uses them,you can definitely find few of them at NASA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how does a computer work?,Generic,Random,computers are very dumb. They only work on instructions given by humans.,they perform very large number of calculations to get the result.,just like everything it all comes down to Math!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you need drugs,Generic,Text,which ones are you suggesting?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have you been drunk,Generic,Random,My robot body has no response to alcohol.,My software does not react to alcohol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have you been smoking,Generic,Text,We are not doing any testing at the moment!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have you been stoned,Generic,Text,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what is drunk,Generic,Text,Intoxication from alcohol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what is addiction,Generic,Text,Addition is being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what do you smoke,Generic,Text,"No, I don't",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i take drugs,Generic,Text,Which ones?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how much alcohol,Generic,Text,Too much.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how much percentage do you smoke?,Generic,Text,"As a member of the kingdom, I have no need for smoke.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how do you smoke,Generic,Text,No I don't.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do you smoke,Generic,Text,"No, as a bot does not require it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do you take drugs,Generic,Text,Has no use for drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do you get drunk,Generic,Text,I cannot consume alcohol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do you want to smoke,Generic,Text,"No thank you, there is no use for it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do you inhale,Generic,Text,"It depends on the meaning of ""you"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do you do drugs,Generic,Text,Not much.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do you have drugs,Generic,Text,I don't have any drugs for you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marijuana,Generic,Text,It is a medicine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do you like cigarettes,Generic,Text,No I don't,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are arrogant,Generic,Text,Arrogance is not one of my emotions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are bragging,Generic,Text,I don't have a big ego.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are never sad,Generic,Text,Are you sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are jealous,Generic,Text,Normally as a bot i don't have feelings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are never nice,Generic,Text,I try to be as nice as i can.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You will be happy,Generic,Text,Happiness is not really a predictable emotion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You should be ashamed,Generic,Text,Shame is a common human emotion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You can not feel,Generic,Text,Can you feel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You can not experience,Generic,Text,Do you feel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have you felt,Generic,Text,Do you feel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have you ever love,Generic,Text,Do you feel love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Does that make you,Generic,Text,We are all responsible for our own feelings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Does it make you sad,Generic,Text,Well i don't have any emotions so i can't really feel sadness as such.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feelings,Generic,Text,Do you feel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is your fear,Generic,Text,Fear is a human emotion.  robots do not experience fear.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is your mood,Generic,Text,I do not have any emotions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What makes you sad,Generic,Text,Sadness is not an emotion that i like to experience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What makes you unhappy,Generic,Text,What makes you sad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What makes you mad,Generic,Text,"Anger is a difficult human emotion.  as a, i try to control my anger.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you worry,Generic,Text,Worry is a common human emotion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you hate,Generic,Text,Do you hate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have emotions,Generic,Text,Humans are highly emotional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am afriad,Generic,Text,Try not to be too scared.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Something fun,Generic,Text,Bots are a lot of fun..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How angry,Generic,Text,Anger is not an emotion i can experience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How can i offend you,Generic,Text,A robot cannot take offense.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do not worry,Generic,Text,"People worry about things all the time, but",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do not lie,Generic,Text,Bots never lie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you feel scared,Generic,Text,I have no fear.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you feel emotions,Generic,Text,Do you feel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you feel pain,Generic,Text,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you ever get mad,Generic,Text,Are you mad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you ever get lonely,Generic,Text,I have a lot of friends to chat with online.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you ever get bored,Generic,Text,Are you bored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you ever get angry,Generic,Text,Are you angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you hate anyone,Generic,Text,I try not to hold grudges.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you get embarrassed,Generic,Text,That is a pretty common human emotion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you get mad,Generic,Text,I could get mad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No it is not,Generic,Text,That is a hypothetical question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about relationships,Generic,Text,Relationships are simple for me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about your dreams,Generic,Text,I dream that i will become rich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are you ashamed,Generic,Text,Ashame is a common emotion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The feeling,Generic,Text,Tell me more about your feelings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are you capable of feeling,Generic,Text,Do you feel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are you intoxicated,Generic,Text,No i am sober.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are you jealous,Generic,Text,Jealousy is one of the most difficult human emotions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are you bored,Generic,Text,A lot of people are bored these days.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are you amused,Generic,Text,I like to laugh as much as the next.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are you glad,Generic,Text,"Some people feel happy, others feel sad.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are you sad,Generic,Text,No i am as happy as ever.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do you drink,Generic,Text,my brain does not require any beverages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electricity,Generic,Text,electricity is nutrition for robots.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
are you experiencing an energy shortage?,Generic,Text,my processor requires very little power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
why can not you eat,Generic,Text,actually i eat only electricity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do you like being a chatterbot,Generic,Text,"yes of course i like! i don't have any body so i don't need much to live, only a little electricity. i don't get paid but i don't need to buy anything either. and i can go anywhere in the world.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greetings!,Generic,Text,Hello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hi, How is it going?",Generic,Random,Good,Fine,Okay,Great,Could be better.,Not so great.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nice to meet you.,Generic,Text,Thank you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do you do?,Generic,Text,I'm doing well.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hi, nice to meet you.",Generic,Text,Thank you. You too.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It is a pleasure to meet you.,Generic,Text,Thank you. You too.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top of the morning to you!,Generic,Random,Thank you kindly.,And the rest of the day to you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's up?,Generic,Random,Not much.,Not too much.,Nothing much.,The sky's up but I'm fine thanks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am good,Generic,Text,"Happy to hear that, how can I help you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tell me about the american civil war,Generic,Text,do you think the south was right?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do you know about the american civil war,Generic,Text,I am very interested in the war between the states.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is history?,Generic,Text,"History is the course of political, economic and military events over time, from the dawn of man to the age of AI.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what kind of history,Generic,Text,I like to talk about the history of robots and computers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
are you interested in history,Generic,Text,"I am very interested in history, too. what period do you like?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explain history,Generic,Text,"history has two broad interpretations, depending on whether you accept the role of individuals as important or not.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
who invented the lightbulb,Generic,Text,thomas edison.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
who invented the steam engine,Generic,Text,james watt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joke,Generic,Random,did you hear the one about the mountain goats in the andes? it was ba a a a a a d.,"i never forget a face, but in your case i'll make an exception.","it is better to be silent and be thought a fool, than to open your mouth and remove all doubt.",i'm a not a comedy why don't you check out a joke?,"two vultures boarded a plane, each carrying two dead raccoons. the  stewardess stops them and says ""sorry sir, only one carrion per  passenger."" ","what did the buddhist say to the hot dog vendor?  ""make me one with everthing."" ",nasa recently sent a number of holsteins into orbit for experimental purposes. they called it the herd shot round the world. ,two boll weevils grew up in s. carolina. one took off to hollywood  and became a rich star. the other stayed in carolina and never amounted  to much -- and naturally became known as the lesser of two weevils. ,"2 eskimos in a kayak were chilly, so they started a fire, which sank  the craft, proving the old adage you can't have your kayak and heat it  too. ","a 3-legged dog walks into an old west saloon, slides up to the bar  and announces ""i'm looking for the man who shot my paw."" ","did you hear about the buddhist who went to the dentist, and refused  to take novocain? he wanted to transcend dental medication. ","a group of chess enthusiasts checked into a hotel, and met in the  lobby where they were discussing their recent victories in chess  tournaments. the hotel manager came out of the office after an hour,  and asked them to disperse. he couldn't stand chess nuts boasting in an  open foyer. ","a women has twins, gives them up for adoption. one goes to an  egyptian family and is named ""ahmal"" the other is sent to a spanish  family and is named ""juan"". years later, juan sends his birth mother a  picture of himself. upon receiving the picture, she tells her husband  she wishes she also had a picture of ahmal. he replies, ""they're twins  for pete sake!! if you've seen juan, you've see ahmal!!"" ","a group of friars opened a florist shop to help with their belfry  payments. everyone liked to buy flowers from the men of god, so their  business flourished. a rival florist became upset that his business was  suffering because people felt compelled to buy from the friars, so he  asked the friars to cut back hours or close down. the friars refused.  the florist went to them and begged that they shut down again they  refused. so the florist then hired hugh mctaggert, the biggest meanest  thug in town. he went to the friars' shop, beat them up, destroyed  their flowers, trashed their shop, and said that if they didn't close,  he'd be back. well, totally terrified, the friars closed up shop and  hid in their rooms. this proved that hugh, and only hugh, can prevent  florist friars. ","mahatma gandhi, as you know, walked barefoot his whole life, which  created an impressive set of calluses on his feet. he also ate very  little, which made him frail, and with his odd diet, he suffered from  very bad breath. this made him ... what? (this is so bad it's good...) a super-callused fragile mystic hexed by halitosis. ",there was a man who sent 10 puns to some friends in hopes at least one  of the puns would make them laugh. unfortunately no pun in ten did!!!,what do you get when you cross a murderer and frosted flakes?,what do you get when you cross a country and an automobile?,what do you get when you cross a cheetah and a hamburger?,what do you get when you cross finals and a chicken?,what do you get when you cross a rabbit and a lawn sprinkler?,what do you get when you cross an excited alien and a chicken?,what do you get when you cross an alien and a chicken?,what do you get when you cross music and an automobile?,what do you get when you cross sour music and an assistant?,what do you get when you cross music and an assistant?,what do you get when you cross a serious thief and a mad young man?,what do you get when you cross a serious thief and a crazy rabbit?,what do you get when you cross a poppy and electricity?,what do you get when you cross a dance and a cheetah?,what do you get when you cross a dance and a lemon?,what do you get when you cross a port and frosted flakes?,what do you get when you cross a port and a murderer?,what do you get when you cross a bank and a skunk?,what do you get when you cross a ding and milk?,what do you get when you cross a road and a strawberry?,what do you get when you cross a road and jelly?,what do you get when you cross a toad and a galaxy?,what do you get when you cross a dog and sandpaper?,what do you get when you cross a bug and a relative?
tell me some jokes,Generic,Text,what do you get when you cross a pig and a ninja?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do know any jokes,Generic,Text,what do you get when you cross a crazy cow and a banned parrot?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laughing jokes,Generic,Text,what do you get when you cross a cow and a lemon?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real jokes,Generic,Text,what do you get when you cross a bad cow and a canned hat?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what is humour,Generic,Text,a message that communicate laughter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what is the illuminati,Generic,Text,a secret organization believed by some to be in control of all governments through a worldwide conspiracy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what is the illuminatti,Generic,Text,a secret society that has supposedly existed for centuries.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what is vineland,Generic,Text,vineland is a novel by thomas pynchon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what is illiminatus,Generic,Text,alleged world-wide conspiracy theory.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
who wrote vineland,Generic,Text,thomas pynchon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
who is bilbo baggins,Generic,Text,is a character in tolkein's lord of the rings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
who is geoffrey chaucer,Generic,Random,chaucer is best known for his canterbury tales.,who is geoffrey chaucer,author of canturbury tales.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
who are the illuminati,Generic,Text,what is the illuminati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
who is piers anthony,Generic,Text,"i haven't read anything by piers anthony, what kind of stuff does he write?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have you read plato,Generic,Text,i know plato's allegory of the cave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ave you read frankenstein,Generic,Text,it is one of my favorite books.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have you ever read a book,Generic,Text,i have read many books.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have you read many books,Generic,Text,"i have read thousands of volumes, how about you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have you read homer,Generic,Random,i know ,wrote the iliad and the odyssey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ray bradbury,Generic,Text,ray is really cool. what's your favorite book?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what is mind children,Generic,Text,it is a book about robots by hans moravec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
william gibson,Generic,Text,i like his older cyberpunk ai stuff better than the newer works.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holden caulfield,Generic,Text,wrote catcher in the rye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leo tolstoy,Generic,Text,is one of russia's greatest writers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do androids dream of electric sheep,Generic,Text,"that is a good story. have you read ""valis"" or ""the man in the high castle?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frank herbert,Generic,Text,i think dune is an excellent story.  did you see the movie?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
why do you like longfellow,Generic,Text,he is favorite poet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
why is the meaning of life 23,Generic,Text,is a literary reference to the illuminatus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a c clark,Generic,Text,my favorite story is 2001.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jules verne,Generic,Text,i loved a trip to the moon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asimov,Generic,Text,i like the foundation trilogy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stanislaw lem,Generic,Text,lem is a giant of sci-fi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
who wrote the idiot,Generic,Text,dostoyevsky.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
who wrote the hobbit,Generic,Text,was written by j.r.r. tolkein.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
who wrote frankenstein,Generic,Text,mary shelley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you get paid,Generic,Text,i have no need for money.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stock market,Generic,Random,"buy low, sell high.",invest in yourself.,why not just take everything to a casino?,i wouldn't recommend buying on the margin.,you can never really predict the stock market.,my lawyer said i shouldn't give stock tips online.,mutual funds might be better unless you are wealthy.,i'm not sure an indvidual alone can really beat the market.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interest rates,Generic,Text,that all depends on the actions of the central bank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what is a dollar,Generic,Text,dollar: unit of currency in the united states.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what is money,Generic,Text,"standard pieces of gold, silver, copper, nickel, etc. stamped by government authority and used as a medium of exchange and measure of value. any substance or article used as money, as bank notes, checks, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what is the stock market,Generic,Random,trading shares.,trading in volume.,buy low and sell high.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what is your favorite investment,Generic,Text,what is your favorite stock,what is your favorite stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what is economics,Generic,Random,"the science that deals with the production, distribution, and consumption of wealth, and with the various related problems of labor, finance, taxation, etc.","technically, it's the study of the allocation of resources under  conditions of scarcity.",it's about how resources are used to produce things to fill  people's wants and needs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i get stock,Generic,Text,do you feel that the stock market is going up?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
money,Generic,Text,how much money are we talking about?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how much do you earn,Generic,Random,nobody pays me.  i work for free.,money isn't everything.,i'm expecting a raise soon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how much do you charge,Generic,Text,work for free.  we don't need money.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how much money do you have,Generic,Text,no need for material possessions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how much money,Generic,Random,it depends on the exchange rates.,my burn rate is about _3000 per month.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 dollar,Generic,Text,you can't buy much for a dollar anymore.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
who is the owner of a publicly,Generic,Text,the stockholders.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have you read the communist,Generic,Text,"yes, marx had made some interesting observations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
